STT,Mã Tỉnh/TP,Tên Tỉnh/TP,Mã Quận/Huyện,Tên Quận/Huyện,Mã Trường,Tên Trường,Địa Chỉ,Khu Vực,Trường DTNT
1,01,Hà Nội,00,Sở Giáo dục và Đào tạo,800,Học ở nước ngoài,,KV3,
2,01,Hà Nội,00,Sở Giáo dục và Đào tạo,900,"Quân nhân, Công an tại ngũ",,KV3,
3,01,Hà Nội,01,Quận Ba Đình,062,THPT Nguyễn Trãi-Ba Đình,"Số 50 phố Nam Cao, phường Giảng Võ, quận Ba Đình, TP Hà Nội",KV3,
4,01,Hà Nội,01,Quận Ba Đình,066,THPT Phan Đình Phùng,"Số 30, phố Phan Đình Phùng, phường Quán Thánh, quận Ba Đình, TP Hà Nội",KV3,
5,01,Hà Nội,01,Quận Ba Đình,068,THPT Phạm Hồng Thái,"Số 1 Phố Nguyễn Văn Ngọc, phường Cống Vị, quận Ba Đình, TP Hà Nội",KV3,
6,01,Hà Nội,01,Quận Ba Đình,088,"TH,THCS&THPT Thực nghiệm Khoa học Giáo dục","Số 50 đường Liễu Giai, phường Cống Vị, quận Ba Đình, TP Hà Nội",KV3,
7,01,Hà Nội,01,Quận Ba Đình,223,THPT Hoàng Long,"Số 94, ngõ 189 Hoàng Hoa Thám, phường Liễu Giai, quận Ba Đình, TP Hà Nội",KV3,
8,01,Hà Nội,01,Quận Ba Đình,401,GDNN-GDTX quận Ba Đình,"Số 1 Ngõ 294 Đội Cấn, phường Cống Vị, quận Ba Đình, TP Hà Nội",KV3,
9,01,Hà Nội,01,Quận Ba Đình,441,GDTX Ba Đình,"Ngõ 294 Phố Đội Cấn, quận Ba Đình, TP Hà Nội",KV3,
10,01,Hà Nội,01,Quận Ba Đình,610,CĐ nghề Hùng Vương,"Số 324, Đường Bưởi, Phường Vĩnh Phúc, Quận Ba Đình, TP Hà Nội",KV3,
11,01,Hà Nội,01,Quận Ba Đình,621,CĐ nghề VIGLACERA,"Số 92 phố Vĩnh Phúc, Phường Vĩnh Phúc, Quận Ba Đình, TP Hà Nội",KV3,
12,01,Hà Nội,01,Quận Ba Đình,801,Trường THPT - Khu vực 1,,KV1,
13,01,Hà Nội,01,Quận Ba Đình,802,Trường THPT - KV2NT,,KV2-NT,
14,01,Hà Nội,01,Quận Ba Đình,803,Trường THPT - KV2,,KV2,
15,01,Hà Nội,01,Quận Ba Đình,804,Trường THPT - Khu vực 3,,KV3,
16,01,Hà Nội,02,Quận Hoàn Kiếm,098,THPT Trần Phú-Hoàn Kiếm,"Số 8 phố Hai Bà Trưng, phường Tràng Tiền, quận Hoàn Kiếm, TP Hà Nội",KV3,
17,01,Hà Nội,02,Quận Hoàn Kiếm,111,THPT Việt Đức,"Số 47 Lý Thường Kiệt, phường Trần Hưng Đạo, quận Hoàn Kiếm, TP Hà Nội",KV3,
18,01,Hà Nội,02,Quận Hoàn Kiếm,211,THPT Đinh Tiên Hoàng-Ba Đình,"Số 10 Chương Dương Độ, Phường Chương Dương, quận Hoàn Kiếm, TP Hà Nội",KV3,
19,01,Hà Nội,02,Quận Hoàn Kiếm,228,THPT Hồng Hà,"Số 10, Chương Dương Độ, phường Chương dương, quận Hoàn Kiếm, TP Hà Nội",KV3,
20,01,Hà Nội,02,Quận Hoàn Kiếm,406,GDNN-GDTX Nguyễn Văn Tố quận Hoàn Kiếm,"Số 47 Hàng Quạt, phường Hàng Gai, quận Hoàn Kiếm, TP Hà Nội",KV3,
21,01,Hà Nội,02,Quận Hoàn Kiếm,456,GDTX Nguyễn Văn Tố,Số 47 Hàng Quạt- Quận Hoàn Kiếm- TP Hà Nội,KV3,
22,01,Hà Nội,02,Quận Hoàn Kiếm,501,Cao đẳng Nghệ thuật Hà Nội,"Số 7 phố Hai Bà Trưng, phường Tràng Tiền, quận Hoàn Kiếm, TP Hà Nội",KV3,
23,01,Hà Nội,02,Quận Hoàn Kiếm,636,TC nghề đồng hồ - điện tử - tin học HN,"Số 55 Hàng Bông, Quận Hoàn Kiếm, TP Hà Nội",KV3,
24,01,Hà Nội,03,Quận Hai Bà Trưng,024,THPT Đoàn Kết-Hai Bà Trưng,"Số 174 Hồng Mai, phường Bạch Mai, quận Hai Bà Trưng, TP Hà Nội",KV3,
25,01,Hà Nội,03,Quận Hai Bà Trưng,087,THPT Thăng Long,"Số 44 phố Tạ Quang Bửu, phường Bạch Mai, quận Hai Bà Trưng, TP Hà Nội",KV3,
26,01,Hà Nội,03,Quận Hai Bà Trưng,097,THPT Trần Nhân Tông,"Số 15 phố Hương Viên, phường Đồng Nhân, quận Hai Bà Trưng, TP Hà Nội",KV3,
27,01,Hà Nội,03,Quận Hai Bà Trưng,214,THPT Đông Kinh,"Số 18C Tam Trinh, phường Minh Khai, quận Hai Bà Trưng, TP Hà Nội",KV3,
28,01,Hà Nội,03,Quận Hai Bà Trưng,222,THPT Hoàng Diệu,"Số 9 Phố Bùi Ngọc Dương, phường Bạch Mai, quận Hai Bà Trưng, TP Hà Nội",KV3,
29,01,Hà Nội,03,Quận Hai Bà Trưng,241,THPT Mai Hắc Đế,"Ngõ 29A Phường Vĩnh Tuy, quận Hai Bà Trưng, TP Hà Nội",KV3,
30,01,Hà Nội,03,Quận Hai Bà Trưng,271,THCS và THPT Tạ Quang Bửu,"Số 92 Phố Lê Thanh Nghị, phường Bách Khoa, quận Hai Bà Trưng, TP Hà Nội",KV3,
31,01,Hà Nội,03,Quận Hai Bà Trưng,283,THPT Văn Hiến,"số 310 phố Minh Khai, phường Minh Khai, quận Hai Bà Trưng, TP Hà Nội",KV3,
32,01,Hà Nội,03,Quận Hai Bà Trưng,295,"TH,THCS&THPT Vinschool","Tòa nhà T37 khu đô thị Times City, 458 Minh Khai, phường Vĩnh Tuy, quận Hai Bà Trưng, TP Hà Nội",KV3,
33,01,Hà Nội,03,Quận Hai Bà Trưng,297,THPT Hòa Bình-La Trobe-Hà Nội,"Số 65 Cảm Hội, phường Đống Mác, quận Hai Bà Trưng, TP Hà Nội",KV3,
34,01,Hà Nội,03,Quận Hai Bà Trưng,405,GDNN-GDTX quận Hai Bà Trưng,"Số 15 phố Bùi Ngọc Dương, phường Bạch Mai, quận Hai Bà Trưng, TP Hà Nội",KV3,
35,01,Hà Nội,03,Quận Hai Bà Trưng,450,GDTX Hai Bà Trưng,"Số 14- Phố Lê Gia Đỉnh, phường Phố Huế, quận Hai Bà Trưng- TP Hà Nội",KV3,
36,01,Hà Nội,03,Quận Hai Bà Trưng,603,CĐ nghề Bách Khoa Hà Nội,"Số 15A Tạ Quang Bửu, Phường Bách Khoa, Quận Hai Bà Trưng, TP Hà Nội",KV3,
37,01,Hà Nội,03,Quận Hai Bà Trưng,612,CĐ nghề KT công nghệ LOD - Phân hiệu HN,"Số 924 Bạch Đằng, Phường Thanh Lương, Quận Hai Bà Trưng, TP Hà Nội",KV3,
